1GAT[0] PRI_INPUT (2109,1701)
n294 no2a0 (1589,300)~1.50553e-09ns  n293{356}~1.00673e-09ns  Buffer_n288_0_n294{232}~7.95402e-10ns 
n295 na2a0 (1680,300)~1.50553e-09ns  n294{91}~5.51122e-10ns  Buffer_n283_1_n295{294}~9.01761e-10ns 
n296 nota0 (1199,400)~0ns  Buffer_n287_0_n296{208}~7.53936e-10ns 
n297 no2a0 (1108,400)~1.50553e-09ns  n296{91}~5.51122e-10ns  n196{104}~5.73585e-10ns 
n298 na2a0 (1654,100)~1.50553e-09ns  n292{169}~6.8633e-10ns  195GAT[46]{156}~4.1337e-10ns 
n299 no2a0 (1589,400)~1.50553e-09ns  n298{365}~1.02184e-09ns  n288{364}~1.02017e-09ns 
n300 no2a0 (1498,400)~1.50553e-09ns  n299{91}~5.51122e-10ns  n297{390}~1.06364e-09ns 
n301 na2a0 (1498,300)~1.50553e-09ns  n300{100}~5.66668e-10ns  n295{182}~7.08887e-10ns 
n302 na2a0 (131,100)~1.50553e-09ns  Buffer_n301_2_n302{391}~1.06531e-09ns  n282{91}~5.51122e-10ns 
n303 nota0 (1013,900)~0ns  Buffer_219GAT[50]_2_n303{377}~1.04194e-09ns 
n304 no2a0 (326,100)~1.50553e-09ns  Buffer_n301_2_n304{343}~9.84848e-10ns  n282{104}~5.73585e-10ns 
n305 no2a0 (417,100)~1.50553e-09ns  n304{91}~5.51122e-10ns  Buffer_n303_2_n305{349}~9.94957e-10ns 
n306 na2a0 (40,100)~1.50553e-09ns  n305{377}~1.04194e-09ns  n302{91}~5.51122e-10ns 
n307 nota0 (367,0)~0ns  n282{245}~8.17803e-10ns 
n308 no2a0 (381,0)~1.50553e-09ns  n307{14}~4.19793e-10ns  Buffer_n257_3_n308{320}~9.45964e-10ns 
n309 na2a0 (254,300)~1.50553e-09ns  n281{158}~6.67234e-10ns  Buffer_237GAT[52]_3_n309{382}~1.05029e-09ns 
n310 nota0 (183,200)~0ns  Buffer_n278_1_n310{368}~1.02687e-09ns 
n311 na2a0 (92,200)~1.50553e-09ns  n310{91}~5.51122e-10ns  246GAT[53]{203}~4.64137e-10ns 
n312 no2a0 (211,400)~1.50553e-09ns  Buffer_n265_3_n312{344}~9.86534e-10ns  Buffer_n195_1_n312{288}~8.91525e-10ns 
n313 nota0 (1066,800)~0ns  Buffer_210GAT[49]_2_n313{344}~9.86534e-10ns 
n314 no2a0 (122,500)~1.50553e-09ns  Buffer_n313_2_n314{311}~9.30692e-10ns  n163{280}~8.77856e-10ns 
n315 no2a0 (120,400)~1.50553e-09ns  n314{102}~5.70126e-10ns  n312{91}~5.51122e-10ns 
n316 na3a0 (85,300)~2.42708e-09ns  n315{135}~6.27309e-10ns  n311{107}~5.78776e-10ns  n309{169}~6.8633e-10ns 
n317 no2a0 (191,0)~1.50553e-09ns  Buffer_n316_0_n317{203}~7.45281e-10ns  n308{190}~7.22759e-10ns 
863GAT[424] na2a0 (1,200)~1.50553e-09ns  n317{390}~1.06364e-09ns  n306{139}~6.3425e-10ns 
n319 no2a0 (1407,400)~1.50553e-09ns  n297{299}~9.10282e-10ns  n288{182}~7.08887e-10ns 
n320 nota0 (1483,200)~0ns  n319{276}~8.71013e-10ns 
n321 nota0 (1667,500)~0ns  Buffer_n298_0_n321{206}~7.50475e-10ns 
n322 nota0 (1953,300)~0ns  Buffer_n283_0_n322{395}~1.07197e-09ns 
n323 no2a0 (1704,200)~1.50553e-09ns  n293{141}~6.37722e-10ns  n322{349}~9.94957e-10ns 
n324 no2a0 (1613,200)~1.50553e-09ns  n323{91}~5.51122e-10ns  n321{354}~1.00337e-09ns 
n325 na2a0 (1522,200)~1.50553e-09ns  n324{91}~5.51122e-10ns  n320{39}~4.62005e-10ns 
n326 no2a0 (1392,200)~1.50553e-09ns  n324{221}~7.76414e-10ns  n320{91}~5.51122e-10ns 
n327 no2a0 (1015,200)~1.50553e-09ns  n326{377}~1.04194e-09ns  Buffer_n303_0_n327{351}~9.98323e-10ns 
n328 na2a0 (1106,200)~1.50553e-09ns  n327{91}~5.51122e-10ns  Buffer_n325_0_n328{208}~7.53936e-10ns 
n329 no2a0 (1407,300)~1.50553e-09ns  n320{176}~6.98478e-10ns  Buffer_n257_1_n329{291}~8.96645e-10ns 
n330 na2a0 (1316,400)~1.50553e-09ns  n297{208}~7.53936e-10ns  Buffer_237GAT[52]_4_n330{341}~9.81475e-10ns 
n331 na2a0 (1197,200)~1.50553e-09ns  n287{219}~7.72958e-10ns  Buffer_246GAT[53]_2_n331{325}~9.54435e-10ns 
n332 no2a0 (1151,500)~1.50553e-09ns  Buffer_n265_0_n332{342}~9.83162e-10ns  n196{161}~6.72443e-10ns 
n333 na2a0 (1080,600)~1.50553e-09ns  Buffer_210GAT[49]_2_n333{390}~1.06364e-09ns  Buffer_111GAT[27]_0_n333{330}~9.62896e-10ns 
n334 na2a0 (1049,0)~1.50553e-09ns  259GAT[55]{4}~2.51015e-10ns  255GAT[54]{99}~3.51826e-10ns 
n335 na2a0 (1060,500)~1.50553e-09ns  Buffer_n334_0_n335{255}~8.35001e-10ns  n333{120}~6.01292e-10ns 
n336 no2a0 (1242,500)~1.50553e-09ns  n335{182}~7.08887e-10ns  n332{91}~5.51122e-10ns 
n337 na3a0 (1238,300)~2.42708e-09ns  n336{204}~7.47013e-10ns  n331{141}~6.37722e-10ns  n330{178}~7.01948e-10ns 
n338 no2a0 (1147,300)~1.50553e-09ns  n337{91}~5.51122e-10ns  n329{260}~8.43588e-10ns 
864GAT[423] na2a0 (1056,300)~1.50553e-09ns  n338{91}~5.51122e-10ns  n328{150}~6.53345e-10ns 
n340 no2a0 (1795,200)~1.50553e-09ns  Buffer_n321_0_n340{214}~7.64315e-10ns  n293{150}~6.53345e-10ns 
n341 na2a0 (1966,300)~1.50553e-09ns  n340{271}~8.62452e-10ns  Buffer_n283_1_n341{267}~8.55597e-10ns 
n342 nota0 (1977,200)~0ns  n340{182}~7.08887e-10ns 
n343 na2a0 (1990,200)~1.50553e-09ns  n342{13}~4.18116e-10ns  n322{137}~6.30779e-10ns 
n344 na3a0 (1940,400)~2.42708e-09ns  n343{250}~8.26405e-10ns  n341{126}~6.11695e-10ns  219GAT[50]{255}~5.20012e-10ns 
n345 no2a0 (1886,200)~1.50553e-09ns  n342{91}~5.51122e-10ns  n257{296}~9.0517e-10ns 
n346 na2a0 (1680,400)~1.50553e-09ns  n321{113}~5.89164e-10ns  Buffer_237GAT[52]_5_n346{345}~9.88219e-10ns 
n347 na2a0 (1836,100)~1.50553e-09ns  n292{351}~9.98323e-10ns  Buffer_246GAT[53]_3_n347{368}~1.02687e-09ns 
n348 no2a0 (1692,600)~1.50553e-09ns  Buffer_n265_1_n348{319}~9.44269e-10ns  n184{144}~6.42929e-10ns 
n349 na2a0 (1574,600)~1.50553e-09ns  Buffer_210GAT[49]_1_n349{356}~1.00673e-09ns  Buffer_116GAT[28]_5_n349{355}~1.00505e-09ns 
n350 na2a0 (1965,600)~1.50553e-09ns  Buffer_260GAT[56]_1_n350{334}~9.69658e-10ns  Buffer_255GAT[54]_3_n350{323}~9.51048e-10ns 
n351 na2a0 (1874,600)~1.50553e-09ns  n350{91}~5.51122e-10ns  n349{300}~9.11985e-10ns 
n352 no2a0 (1783,600)~1.50553e-09ns  n351{91}~5.51122e-10ns  n348{91}~5.51122e-10ns 
n353 na3a0 (1771,400)~2.42708e-09ns  n352{212}~7.60856e-10ns  n347{365}~1.02184e-09ns  n346{91}~5.51122e-10ns 
n354 no2a0 (1862,300)~1.50553e-09ns  n353{191}~7.24492e-10ns  n345{124}~6.08227e-10ns 
865GAT[422] na2a0 (1771,300)~1.50553e-09ns  n354{91}~5.51122e-10ns  n344{269}~8.59025e-10ns 
n356 no2a0 (1026,900)~1.50553e-09ns  Buffer_n239_0_n356{293}~9.00056e-10ns  Buffer_n133_1_n356{277}~8.72724e-10ns 
n357 na2a0 (783,100)~1.50553e-09ns  n225{300}~9.11985e-10ns  Buffer_55GAT[9]_3_n357{354}~1.00337e-09ns 
n358 nota0 (842,0)~0ns  n357{159}~6.68971e-10ns 
n359 na2a0 (859,0)~1.50553e-09ns  n358{17}~4.2483e-10ns  143GAT[34]{289}~5.56276e-10ns 
n360 na2a0 (1334,0)~1.50553e-09ns  138GAT[33]{186}~4.45792e-10ns  8GAT[1]{281}~5.47765e-10ns 
n361 nota0 (666,300)~0ns  n242{269}~8.59025e-10ns 
n362 no2a0 (770,300)~1.50553e-09ns  Buffer_268GAT[59]_2_n362{333}~9.67968e-10ns  n230{204}~7.47013e-10ns 
n363 na2a0 (679,300)~1.50553e-09ns  n362{91}~5.51122e-10ns  n361{13}~4.18116e-10ns 
n364 na3a0 (874,100)~2.42708e-09ns  n363{395}~1.07197e-09ns  Buffer_n360_0_n364{280}~8.77856e-10ns  n359{115}~5.92628e-10ns 
n365 no2a0 (922,900)~1.50553e-09ns  Buffer_n364_1_n365{282}~8.81275e-10ns  n356{104}~5.73585e-10ns 
n366 no2a0 (831,900)~1.50553e-09ns  n365{91}~5.51122e-10ns  n178{104}~5.73585e-10ns 
n367 nota0 (871,800)~0ns  n366{140}~6.35986e-10ns 
n368 nota0 (287,200)~0ns  n281{91}~5.51122e-10ns 
n369 na2a0 (391,200)~1.50553e-09ns  Buffer_n301_2_n369{301}~9.13687e-10ns  n279{91}~5.51122e-10ns 
n370 na2a0 (300,200)~1.50553e-09ns  n369{91}~5.51122e-10ns  n368{13}~4.18116e-10ns 
n371 no2a0 (974,1100)~1.50553e-09ns  Buffer_n239_0_n371{367}~1.0252e-09ns  Buffer_n134_0_n371{310}~9.28993e-10ns 
n372 na2a0 (954,0)~1.50553e-09ns  n358{112}~5.87432e-10ns  Buffer_146GAT[35]_2_n372{309}~9.27294e-10ns 
n373 na2a0 (755,200)~1.50553e-09ns  Buffer_138GAT[33]_1_n373{321}~9.47659e-10ns  Buffer_51GAT[8]_4_n373{376}~1.04027e-09ns 
n374 na3a0 (846,200)~2.42708e-09ns  n373{91}~5.51122e-10ns  n372{308}~9.25595e-10ns  n363{267}~8.55597e-10ns 
n375 no2a0 (948,1000)~1.50553e-09ns  Buffer_n374_1_n375{300}~9.11985e-10ns  n371{126}~6.11695e-10ns 
n376 nota0 (870,1100)~0ns  n375{178}~7.01948e-10ns 
n377 no2a0 (792,1300)~1.50553e-09ns  n376{278}~8.74435e-10ns  Buffer_165GAT[41]_0_n377{376}~1.04027e-09ns 
n378 no2a0 (406,400)~1.50553e-09ns  Buffer_n239_0_n378{266}~8.53882e-10ns  n161{293}~9.00056e-10ns 
n379 nota0 (471,300)~0ns  n378{165}~6.79387e-10ns 
n380 nota0 (1222,0)~0ns  Buffer_149GAT[36]_2_n380{363}~1.01849e-09ns 
n381 no2a0 (692,100)~1.50553e-09ns  n357{91}~5.51122e-10ns  Buffer_n380_0_n381{315}~9.37484e-10ns 
n382 na2a0 (664,200)~1.50553e-09ns  Buffer_138GAT[33]_1_n382{352}~1.00001e-09ns  Buffer_17GAT[3]_4_n382{356}~1.00673e-09ns 
n383 na2a0 (573,200)~1.50553e-09ns  n382{91}~5.51122e-10ns  n363{206}~7.50475e-10ns 
n384 no2a0 (575,300)~1.50553e-09ns  n383{102}~5.70126e-10ns  n381{317}~9.40877e-10ns 
n385 na2a0 (484,300)~1.50553e-09ns  n384{91}~5.51122e-10ns  n379{13}~4.18116e-10ns 
n386 no2a0 (519,1100)~1.50553e-09ns  Buffer_n385_1_n386{278}~8.74435e-10ns  Buffer_171GAT[42]_2_n386{311}~9.30692e-10ns 
n387 no2a0 (315,400)~1.50553e-09ns  Buffer_n239_0_n387{312}~9.32391e-10ns  n163{13}~4.18116e-10ns 
n388 nota0 (354,300)~0ns  n387{139}~6.3425e-10ns 
n389 nota0 (1602,0)~0ns  153GAT[38]{298}~5.65833e-10ns 
n390 no2a0 (669,0)~1.50553e-09ns  n357{214}~7.64315e-10ns  Buffer_n389_1_n390{311}~9.30692e-10ns 
n391 na2a0 (574,0)~1.50553e-09ns  152GAT[37]{99}~3.51826e-10ns  Buffer_138GAT[33]_1_n391{315}~9.37484e-10ns 
n392 na2a0 (599,100)~1.50553e-09ns  n391{125}~6.09961e-10ns  n363{280}~8.77856e-10ns 
n393 no2a0 (508,100)~1.50553e-09ns  n392{91}~5.51122e-10ns  n390{261}~8.45305e-10ns 
n394 na2a0 (367,300)~1.50553e-09ns  n393{341}~9.81475e-10ns  n388{13}~4.18116e-10ns 
n395 no2a0 (233,1100)~1.50553e-09ns  Buffer_n394_1_n395{311}~9.30692e-10ns  Buffer_177GAT[43]_4_n395{334}~9.69658e-10ns 
n396 no2a0 (441,1400)~1.50553e-09ns  Buffer_n395_0_n396{254}~8.33282e-10ns  n386{378}~1.04361e-09ns 
n397 nota0 (591,1300)~0ns  n396{250}~8.26405e-10ns 
n398 no2a0 (610,1300)~1.50553e-09ns  n397{19}~4.28193e-10ns  n377{182}~7.08887e-10ns 
n399 na2a0 (532,1400)~1.50553e-09ns  n398{178}~7.01948e-10ns  Buffer_n370_2_n399{358}~1.01009e-09ns 
n400 no2a0 (831,1200)~1.50553e-09ns  n375{317}~9.40877e-10ns  n179{152}~6.56818e-10ns 
n401 na2a0 (428,1100)~1.50553e-09ns  Buffer_n385_1_n401{285}~8.86402e-10ns  Buffer_171GAT[42]_2_n401{334}~9.69658e-10ns 
n402 nota0 (428,1400)~0ns  n401{300}~9.11985e-10ns 
n403 na2a0 (142,1100)~1.50553e-09ns  Buffer_n394_1_n403{341}~9.81475e-10ns  Buffer_177GAT[43]_4_n403{349}~9.94957e-10ns 
n404 no2a0 (350,1500)~1.50553e-09ns  Buffer_n403_0_n404{304}~9.18793e-10ns  Buffer_n386_0_n404{284}~8.84693e-10ns 
n405 no2a0 (337,1400)~1.50553e-09ns  n404{113}~5.89164e-10ns  n402{91}~5.51122e-10ns 
n406 no2a0 (623,1400)~1.50553e-09ns  n405{286}~8.8811e-10ns  n377{269}~8.59025e-10ns 
n407 no2a0 (714,1400)~1.50553e-09ns  n406{91}~5.51122e-10ns  n400{317}~9.40877e-10ns 
n408 na2a0 (589,1500)~1.50553e-09ns  n407{225}~7.83322e-10ns  n399{157}~6.65498e-10ns 
n409 nota0 (831,1000)~0ns  n365{191}~7.24492e-10ns 
n410 no2a0 (649,1000)~1.50553e-09ns  n409{182}~7.08887e-10ns  Buffer_159GAT[40]_2_n410{317}~9.40877e-10ns 
n411 nota0 (935,1000)~0ns  n410{286}~8.8811e-10ns 
n412 na2a0 (883,1100)~1.50553e-09ns  n411{152}~6.56818e-10ns  Buffer_n408_0_n412{347}~9.91589e-10ns 
866GAT[426] na2a0 (884,800)~1.50553e-09ns  n412{301}~9.13687e-10ns  n367{13}~4.18116e-10ns 
n414 nota0 (324,1100)~0ns  n403{182}~7.08887e-10ns 
n415 no2a0 (337,1100)~1.50553e-09ns  n414{13}~4.18116e-10ns  n395{104}~5.73585e-10ns 
n416 na2a0 (342,1000)~1.50553e-09ns  n415{105}~5.75315e-10ns  Buffer_n370_1_n416{280}~8.77856e-10ns 
n417 no2a0 (368,900)~1.50553e-09ns  n415{231}~7.93677e-10ns  Buffer_n370_0_n417{384}~1.05363e-09ns 
n418 no2a0 (459,900)~1.50553e-09ns  n417{91}~5.51122e-10ns  Buffer_n303_0_n418{277}~8.72724e-10ns 
n419 na2a0 (433,1000)~1.50553e-09ns  n418{126}~6.11695e-10ns  n416{91}~5.51122e-10ns 
n420 nota0 (329,1000)~0ns  n415{108}~5.80507e-10ns 
n421 no2a0 (238,1000)~1.50553e-09ns  n420{91}~5.51122e-10ns  Buffer_n257_5_n421{392}~1.06698e-09ns 
n422 na2a0 (277,900)~1.50553e-09ns  n414{247}~8.21245e-10ns  Buffer_237GAT[52]_2_n422{322}~9.49354e-10ns 
n423 na2a0 (148,800)~1.50553e-09ns  Buffer_n394_0_n423{359}~1.01177e-09ns  Buffer_246GAT[53]_1_n423{284}~8.84693e-10ns 
n424 no2a0 (234,700)~1.50553e-09ns  Buffer_n265_2_n424{350}~9.9664e-10ns  n207{104}~5.73585e-10ns 
n425 no2a0 (167,600)~1.50553e-09ns  Buffer_n313_1_n425{366}~1.02352e-09ns  n161{146}~6.46401e-10ns 
n426 no2a0 (143,700)~1.50553e-09ns  n425{124}~6.08227e-10ns  n424{91}~5.51122e-10ns 
n427 na3a0 (108,900)~2.42708e-09ns  n426{235}~8.00576e-10ns  n423{140}~6.35986e-10ns  n422{169}~6.8633e-10ns 
n428 no2a0 (147,1000)~1.50553e-09ns  n427{139}~6.3425e-10ns  n421{91}~5.51122e-10ns 
874GAT[433] na2a0 (56,1000)~1.50553e-09ns  n428{91}~5.51122e-10ns  n419{377}~1.04194e-09ns 
n430 no2a0 (844,1000)~1.50553e-09ns  n410{195}~7.31425e-10ns  n366{113}~5.89164e-10ns 
n431 na2a0 (862,1500)~1.50553e-09ns  Buffer_n430_0_n431{259}~8.41871e-10ns  n408{273}~8.65878e-10ns 
n432 nota0 (849,1500)~0ns  Buffer_n430_0_n432{252}~8.29844e-10ns 
n433 na3a0 (680,1500)~2.42708e-09ns  n432{169}~6.8633e-10ns  n407{134}~6.25573e-10ns  n399{248}~8.22965e-10ns 
n434 na3a0 (953,1500)~2.42708e-09ns  n433{273}~8.65878e-10ns  n431{91}~5.51122e-10ns  Buffer_219GAT[50]_4_n434{361}~1.01513e-09ns 
n435 no2a0 (810,1600)~1.50553e-09ns  n432{139}~6.3425e-10ns  Buffer_n257_5_n435{396}~1.07364e-09ns 
n436 na2a0 (740,1000)~1.50553e-09ns  n366{191}~7.24492e-10ns  Buffer_237GAT[52]_1_n436{291}~8.96645e-10ns 
n437 na2a0 (558,1000)~1.50553e-09ns  n409{273}~8.65878e-10ns  Buffer_246GAT[53]_2_n437{365}~1.02184e-09ns 
n438 no2a0 (636,900)~1.50553e-09ns  Buffer_n265_0_n438{399}~1.07863e-09ns  n178{91}~5.51122e-10ns 
n439 no2a0 (780,800)~1.50553e-09ns  Buffer_n243_0_n439{290}~8.94938e-10ns  n313{286}~8.8811e-10ns 
n440 no2a0 (740,900)~1.50553e-09ns  n439{140}~6.35986e-10ns  n438{104}~5.73585e-10ns 
n441 na3a0 (701,1100)~2.42708e-09ns  n440{239}~8.0747e-10ns  n437{243}~8.1436e-10ns  n436{139}~6.3425e-10ns 
n442 no2a0 (901,1600)~1.50553e-09ns  Buffer_n441_0_n442{350}~9.9664e-10ns  n435{91}~5.51122e-10ns 
878GAT[442] na2a0 (992,1600)~1.50553e-09ns  n442{91}~5.51122e-10ns  n434{139}~6.3425e-10ns 
n444 no2a0 (701,1300)~1.50553e-09ns  n400{230}~7.91952e-10ns  n377{91}~5.51122e-10ns 
n445 nota0 (389,1300)~0ns  n444{312}~9.32391e-10ns 
n446 na2a0 (493,1300)~1.50553e-09ns  n396{152}~6.56818e-10ns  Buffer_n370_2_n446{323}~9.51048e-10ns 
n447 na3a0 (129,1300)~2.42708e-09ns  n446{364}~1.02017e-09ns  n445{260}~8.43588e-10ns  n405{308}~9.25595e-10ns 
n448 na2a0 (298,1300)~1.50553e-09ns  n446{195}~7.31425e-10ns  n405{139}~6.3425e-10ns 
n449 na2a0 (298,1200)~1.50553e-09ns  n448{100}~5.66668e-10ns  Buffer_n444_0_n449{251}~8.28125e-10ns 
n450 na3a0 (129,1200)~2.42708e-09ns  n449{169}~6.8633e-10ns  n447{100}~5.66668e-10ns  Buffer_219GAT[50]_5_n450{384}~1.05363e-09ns 
n451 no2a0 (402,1300)~1.50553e-09ns  n445{13}~4.18116e-10ns  Buffer_n257_6_n451{360}~1.01345e-09ns 
n452 na2a0 (740,1200)~1.50553e-09ns  n400{91}~5.51122e-10ns  Buffer_237GAT[52]_0_n452{337}~9.74725e-10ns 
n453 na2a0 (610,1100)~1.50553e-09ns  n376{260}~8.43588e-10ns  Buffer_246GAT[53]_3_n453{323}~9.51048e-10ns 
n454 no2a0 (922,1200)~1.50553e-09ns  Buffer_n265_0_n454{206}~7.50475e-10ns  n179{139}~6.3425e-10ns 
n455 no2a0 (992,1300)~1.50553e-09ns  Buffer_n313_0_n455{287}~8.89817e-10ns  Buffer_n133_0_n455{232}~7.95402e-10ns 
n456 no2a0 (1013,1200)~1.50553e-09ns  n455{121}~6.03026e-10ns  n454{91}~5.51122e-10ns 
n457 na3a0 (571,1200)~2.42708e-09ns  Buffer_n456_0_n457{221}~7.76414e-10ns  n453{139}~6.3425e-10ns  n452{169}~6.8633e-10ns 
n458 no2a0 (389,1200)~1.50553e-09ns  n457{182}~7.08887e-10ns  n451{113}~5.89164e-10ns 
879GAT[441] na2a0 (38,1200)~1.50553e-09ns  n458{351}~9.98323e-10ns  n450{91}~5.51122e-10ns 
n460 no2a0 (441,1500)~1.50553e-09ns  n402{113}~5.89164e-10ns  Buffer_n386_0_n460{239}~8.0747e-10ns 
n461 nota0 (239,1600)~0ns  n460{302}~9.15389e-10ns 
n462 nota0 (324,1400)~0ns  n395{391}~1.06531e-09ns 
n463 na2a0 (233,1400)~1.50553e-09ns  n462{91}~5.51122e-10ns  Buffer_n370_2_n463{316}~9.39181e-10ns 
n464 na3a0 (181,1500)~2.42708e-09ns  n463{152}~6.56818e-10ns  n461{158}~6.67234e-10ns  Buffer_n403_0_n464{219}~7.72958e-10ns 
n465 na2a0 (142,1400)~1.50553e-09ns  n463{91}~5.51122e-10ns  n403{300}~9.11985e-10ns 
n466 na2a0 (51,1400)~1.50553e-09ns  n465{91}~5.51122e-10ns  Buffer_n460_0_n466{245}~8.17803e-10ns 
n467 na3a0 (12,1500)~2.42708e-09ns  n466{139}~6.3425e-10ns  n464{169}~6.8633e-10ns  Buffer_219GAT[50]_6_n467{388}~1.06031e-09ns 
n468 no2a0 (148,1600)~1.50553e-09ns  n461{91}~5.51122e-10ns  Buffer_n257_7_n468{381}~1.04862e-09ns 
n469 na2a0 (291,1700)~1.50553e-09ns  Buffer_n402_0_n469{218}~7.7123e-10ns  Buffer_237GAT[52]_0_n469{237}~8.04023e-10ns 
n470 na2a0 (480,1200)~1.50553e-09ns  Buffer_n385_1_n470{301}~9.13687e-10ns  Buffer_246GAT[53]_2_n470{396}~1.07364e-09ns 
n471 no2a0 (493,800)~1.50553e-09ns  Buffer_n265_1_n471{347}~9.91589e-10ns  n205{13}~4.18116e-10ns 
n472 no2a0 (551,1600)~1.50553e-09ns  Buffer_n313_2_n472{328}~9.59513e-10ns  Buffer_n134_0_n472{251}~8.28125e-10ns 
n473 no2a0 (551,1700)~1.50553e-09ns  n472{100}~5.66668e-10ns  Buffer_n471_1_n473{319}~9.44269e-10ns 
n474 na3a0 (382,1700)~2.42708e-09ns  n473{169}~6.8633e-10ns  Buffer_n470_0_n474{299}~9.10282e-10ns  n469{91}~5.51122e-10ns 
n475 no2a0 (168,1700)~1.50553e-09ns  n474{214}~7.64315e-10ns  n468{120}~6.01292e-10ns 
880GAT[440] na2a0 (51,1600)~1.50553e-09ns  n475{217}~7.69501e-10ns  n467{139}~6.3425e-10ns 
Buffer_42GAT[7]_0_n87 Ibuffer (0,0)~0ns  42GAT[7]{338}~6.08079e-10ns 
Buffer_42GAT[7]_1_n87 Ibuffer (0,0)~0ns  Buffer_42GAT[7]_0_n87{338}~9.76413e-10ns 
Buffer_42GAT[7]_2_n87 Ibuffer (0,0)~0ns  Buffer_42GAT[7]_1_n87{338}~9.76413e-10ns 
Buffer_42GAT[7]_3_n87 Ibuffer (0,0)~0ns  Buffer_42GAT[7]_2_n87{338}~9.76413e-10ns 
Buffer_42GAT[7]_4_n87 Ibuffer (0,0)~0ns  Buffer_42GAT[7]_3_n87{338}~9.76413e-10ns 
Buffer_75GAT[15]_0_n88 Ibuffer (0,0)~0ns  75GAT[15]{353}~6.23819e-10ns 
Buffer_75GAT[15]_1_n88 Ibuffer (0,0)~0ns  Buffer_75GAT[15]_0_n88{353}~1.00169e-09ns 
Buffer_75GAT[15]_2_n88 Ibuffer (0,0)~0ns  Buffer_75GAT[15]_1_n88{353}~1.00169e-09ns 
Buffer_75GAT[15]_3_n88 Ibuffer (0,0)~0ns  Buffer_75GAT[15]_2_n88{353}~1.00169e-09ns 
Buffer_29GAT[5]_0_n88 Ibuffer (0,0)~0ns  29GAT[5]{362}~6.33236e-10ns 
Buffer_29GAT[5]_1_n88 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_0_n88{362}~1.01681e-09ns 
Buffer_29GAT[5]_2_n88 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_1_n88{362}~1.01681e-09ns 
Buffer_29GAT[5]_3_n88 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_2_n88{362}~1.01681e-09ns 
Buffer_29GAT[5]_4_n88 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_3_n88{362}~1.01681e-09ns 
Buffer_80GAT[16]_0_n90 Ibuffer (0,0)~0ns  80GAT[16]{356}~6.26961e-10ns 
Buffer_80GAT[16]_1_n90 Ibuffer (0,0)~0ns  Buffer_80GAT[16]_0_n90{356}~1.00673e-09ns 
Buffer_80GAT[16]_2_n90 Ibuffer (0,0)~0ns  Buffer_80GAT[16]_1_n90{356}~1.00673e-09ns 
Buffer_80GAT[16]_3_n90 Ibuffer (0,0)~0ns  Buffer_80GAT[16]_2_n90{356}~1.00673e-09ns 
Buffer_80GAT[16]_4_n90 Ibuffer (0,0)~0ns  Buffer_80GAT[16]_3_n90{356}~1.00673e-09ns 
Buffer_29GAT[5]_0_n91 Ibuffer (0,0)~0ns  29GAT[5]{396}~6.68626e-10ns 
Buffer_29GAT[5]_1_n91 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_0_n91{396}~1.07364e-09ns 
Buffer_29GAT[5]_2_n91 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_1_n91{396}~1.07364e-09ns 
Buffer_29GAT[5]_3_n91 Ibuffer (0,0)~0ns  Buffer_29GAT[5]_2_n91{396}~1.07364e-09ns 
Buffer_36GAT[6]_0_n92 Ibuffer (0,0)~0ns  36GAT[6]{375}~6.46803e-10ns 
Buffer_n92_0_n93 Ibuffer (0,0)~0ns  n92{375}~1.03859e-09ns 
Buffer_n92_1_n93 Ibuffer (0,0)~0ns  Buffer_n92_0_n93{375}~1.03859e-09ns 
Buffer_n92_2_n93 Ibuffer (0,0)~0ns  Buffer_n92_1_n93{375}~1.03859e-09ns 
Buffer_n97_0_391GAT[124] Ibuffer (0,0)~0ns  n97{301}~9.13687e-10ns 
Buffer_n97_1_391GAT[124] Ibuffer (0,0)~0ns  Buffer_n97_0_391GAT[124]{301}~9.13687e-10ns 
Buffer_n97_2_391GAT[124] Ibuffer (0,0)~0ns  Buffer_n97_1_391GAT[124]{301}~9.13687e-10ns 
Buffer_1GAT[0]_0_n100 Ibuffer (0,0)~0ns  1GAT[0]{350}~6.20676e-10ns 
Buffer_1GAT[0]_1_n100 Ibuffer (0,0)~0ns  Buffer_1GAT[0]_0_n100{350}~9.9664e-10ns 
Buffer_1GAT[0]_2_n100 Ibuffer (0,0)~0ns  Buffer_1GAT[0]_1_n100{350}~9.9664e-10ns 
Buffer_1GAT[0]_3_n100 Ibuffer (0,0)~0ns  Buffer_1GAT[0]_2_n100{350}~9.9664e-10ns 
Buffer_17GAT[3]_0_n104 Ibuffer (0,0)~0ns  17GAT[3]{369}~6.40547e-10ns 
Buffer_17GAT[3]_1_n104 Ibuffer (0,0)~0ns  Buffer_17GAT[3]_0_n104{369}~1.02855e-09ns 
Buffer_17GAT[3]_2_n104 Ibuffer (0,0)~0ns  Buffer_17GAT[3]_1_n104{369}~1.02855e-09ns 
Buffer_13GAT[2]_0_n104 Ibuffer (0,0)~0ns  13GAT[2]{333}~6.02819e-10ns 
